# M6 v11 canonical neutral chaoiton profile beta(r)
# ODE: beta'' + (2/r)beta' - (2/r^2)beta + lambda*beta + 4g*beta^3 = 0
"# g = 1.0, lambda = -0.26469686, m_J_raw = sqrt(-lambda) = 0.51448699"
"# eta = 0.42511430, H/Q_spherical = 2.11756090"
"# m_chi = 0.460004 MeV, m_J = 0.618427 MeV, C = 770.16 MeV*fm"
# natural length unit R_phys = hbar*c/m_e = 386.1593 fm
r_natural,r_fm,beta_natural,dbeta_dr_natural
1.59750558,616.8916,6.8492573535e-01,1.3426056600e-01
1.60430517,619.5173,6.8582164155e-01,1.2925509829e-01
1.61110477,622.1430,6.8668347432e-01,1.2423853187e-01
1.61790436,624.7688,6.8751116154e-01,1.1921185663e-01
1.62470395,627.3945,6.8830463788e-01,1.1417606920e-01
1.63150354,630.0202,6.8906384477e-01,1.0913217244e-01
1.63830314,632.6459,6.8978873050e-01,1.0408117489e-01
1.64510273,635.2717,6.9047925023e-01,9.9024090196e-02
1.65190232,637.8974,6.9113536603e-01,9.3961936596e-02
1.65870192,640.5231,6.9175704692e-01,8.8895736335e-02
1.66550151,643.1488,6.9234426884e-01,8.3826515106e-02
1.67230110,645.7746,6.9289701477e-01,7.8755301487e-02
1.67910070,648.4003,6.9341527466e-01,7.3683126376e-02
1.68590029,651.0260,6.9389904547e-01,6.8611022411e-02
1.69269988,653.6518,6.9434833122e-01,6.3540023406e-02
1.69949947,656.2775,6.9476314292e-01,5.8471163772e-02
1.70629907,658.9032,6.9514349865e-01,5.3405477940e-02
1.71309866,661.5289,6.9548942349e-01,4.8343999793e-02
1.71989825,664.1547,6.9580094957e-01,4.3287762089e-02
1.72669785,666.7804,6.9607811603e-01,3.8237795883e-02
1.73349744,669.4061,6.9632096902e-01,3.3195129966e-02
1.74029703,672.0318,6.9652956165e-01,2.8160790290e-02
1.74709663,674.6576,6.9670395403e-01,2.3135799399e-02
1.75389622,677.2833,6.9684421319e-01,1.8121175880e-02
1.76069581,679.9090,6.9695041307e-01,1.3117933787e-02
1.76749540,682.5347,6.9702263450e-01,8.1270821043e-03
1.77429500,685.1605,6.9706096513e-01,3.1496241887e-03
1.78109459,687.7862,6.9706549944e-01,-1.8134427762e-03
1.78789418,690.4119,6.9703633865e-01,-6.7611282962e-03
1.79469378,693.0376,6.9697359069e-01,-1.1692449130e-02
1.80149337,695.6634,6.9687737016e-01,-1.6606429772e-02
1.80829296,698.2891,6.9674779826e-01,-2.1502102998e-02
1.81509256,700.9148,6.9658500273e-01,-2.6378510360e-02
1.82189215,703.5405,6.9638911781e-01,-3.1234702665e-02
1.82869174,706.1663,6.9616028415e-01,-3.6069740506e-02
1.83549133,708.7920,6.9589864875e-01,-4.0882694691e-02
1.84229093,711.4177,6.9560436491e-01,-4.5672646744e-02
1.84909052,714.0434,6.9527759212e-01,-5.0438689359e-02
1.85589011,716.6692,6.9491849601e-01,-5.5179926817e-02
1.86268971,719.2949,6.9452724826e-01,-5.9895475474e-02
1.86948930,721.9206,6.9410402650e-01,-6.4584464131e-02
1.87628889,724.5464,6.9364901426e-01,-6.9246034464e-02
1.88308849,727.1721,6.9316240085e-01,-7.3879341455e-02
1.88988808,729.7978,6.9264438129e-01,-7.8483553741e-02
1.89668767,732.4235,6.9209515621e-01,-8.3057853987e-02
1.90348726,735.0493,6.9151493171e-01,-8.7601439244e-02
1.91028686,737.6750,6.9090391934e-01,-9.2113521318e-02
1.91708645,740.3007,6.9026233595e-01,-9.6593327112e-02
1.92388604,742.9264,6.8959040359e-01,-1.0104009892e-01
1.93068564,745.5522,6.8888834941e-01,-1.0545309471e-01
1.93748523,748.1779,6.8815640554e-01,-1.0983158846e-01
1.94428482,750.8036,6.8739480901e-01,-1.1417487039e-01
1.95108442,753.4293,6.8660380162e-01,-1.1848224728e-01
1.95788401,756.0551,6.8578362980e-01,-1.2275304270e-01
1.96468360,758.6808,6.8493454457e-01,-1.2698659718e-01
1.97148319,761.3065,6.8405680132e-01,-1.3118226849e-01
1.97828279,763.9322,6.8315065977e-01,-1.3533943179e-01
1.98508238,766.5580,6.8221638386e-01,-1.3945747993e-01
1.99188197,769.1837,6.8125424155e-01,-1.4353582350e-01
1.99868157,771.8094,6.8026450478e-01,-1.4757389102e-01
2.00548116,774.4351,6.7924744930e-01,-1.5157112910e-01
2.01228075,777.0609,6.7820335456e-01,-1.5552700255e-01
2.01908035,779.6866,6.7713250359e-01,-1.5944099452e-01
2.02587994,782.3123,6.7603518287e-01,-1.6331260659e-01
2.03267953,784.9380,6.7491168222e-01,-1.6714135882e-01
2.03947912,787.5638,6.7376229463e-01,-1.7092678982e-01
2.04627872,790.1895,6.7258731620e-01,-1.7466845685e-01
2.05307831,792.8152,6.7138704595e-01,-1.7836593583e-01
2.05987790,795.4409,6.7016178573e-01,-1.8201882140e-01
2.06667750,798.0667,6.6891184009e-01,-1.8562672686e-01
2.07347709,800.6924,6.6763751612e-01,-1.8918928419e-01
2.08027668,803.3181,6.6633912339e-01,-1.9270614408e-01
2.08707628,805.9439,6.6501697375e-01,-1.9617697589e-01
2.09387587,808.5696,6.6367138123e-01,-1.9960146757e-01
2.10067546,811.1953,6.6230266196e-01,-2.0297932563e-01
2.10747506,813.8210,6.6091113395e-01,-2.0631027505e-01
2.11427465,816.4468,6.5949711705e-01,-2.0959405923e-01
2.12107424,819.0725,6.5806093279e-01,-2.1283043989e-01
2.12787383,821.6982,6.5660290425e-01,-2.1601919698e-01
2.13467343,824.3239,6.5512335594e-01,-2.1916012853e-01
2.14147302,826.9497,6.5362261371e-01,-2.2225305051e-01
2.14827261,829.5754,6.5210100456e-01,-2.2529779674e-01
2.15507221,832.2011,6.5055885659e-01,-2.2829421875e-01
2.16187180,834.8268,6.4899649883e-01,-2.3124218560e-01
2.16867139,837.4526,6.4741426117e-01,-2.3414158368e-01
2.17547099,840.0783,6.4581247418e-01,-2.3699231655e-01
2.18227058,842.7040,6.4419146906e-01,-2.3979430478e-01
2.18907017,845.3297,6.4255157745e-01,-2.4254748575e-01
2.19586976,847.9555,6.4089313140e-01,-2.4525181345e-01
2.20266936,850.5812,6.3921646321e-01,-2.4790725823e-01
2.20946895,853.2069,6.3752190531e-01,-2.5051380658e-01
2.21626854,855.8326,6.3580979017e-01,-2.5307146093e-01
2.22306814,858.4584,6.3408045021e-01,-2.5558023946e-01
2.22986773,861.0841,6.3233421766e-01,-2.5804017577e-01
2.23666732,863.7098,6.3057142445e-01,-2.6045131869e-01
2.24346692,866.3355,6.2879240217e-01,-2.6281373197e-01
2.25026651,868.9613,6.2699748189e-01,-2.6512749407e-01
2.25706610,871.5870,6.2518699412e-01,-2.6739269792e-01
2.26386569,874.2127,6.2336126867e-01,-2.6960945059e-01
2.27066529,876.8385,6.2152063459e-01,-2.7177787304e-01
2.27746488,879.4642,6.1966542005e-01,-2.7389809983e-01
2.28426447,882.0899,6.1779595228e-01,-2.7597027882e-01
2.29106407,884.7156,6.1591255743e-01,-2.7799457098e-01
2.29786366,887.3414,6.1401556054e-01,-2.7997115001e-01
2.30466325,889.9671,6.1210528540e-01,-2.8190020204e-01
2.31146285,892.5928,6.1018205452e-01,-2.8378192536e-01
2.31826244,895.2185,6.0824618901e-01,-2.8561653017e-01
2.32506203,897.8443,6.0629800849e-01,-2.8740423822e-01
2.33186162,900.4700,6.0433783107e-01,-2.8914528250e-01
2.33866122,903.0957,6.0236597322e-01,-2.9083990700e-01
2.34546081,905.7214,6.0038274971e-01,-2.9248836635e-01
2.35226040,908.3472,5.9838847355e-01,-2.9409092555e-01
2.35906000,910.9729,5.9638345591e-01,-2.9564785964e-01
2.36585959,913.5986,5.9436800607e-01,-2.9715945341e-01
2.37265918,916.2243,5.9234243133e-01,-2.9862600110e-01
2.37945878,918.8501,5.9030703694e-01,-3.0004780607e-01
2.38625837,921.4758,5.8826212610e-01,-3.0142518054e-01
2.39305796,924.1015,5.8620799982e-01,-3.0275844524e-01
2.39985755,926.7272,5.8414495691e-01,-3.0404792913e-01
2.40665715,929.3530,5.8207329393e-01,-3.0529396911e-01
2.41345674,931.9787,5.7999330512e-01,-3.0649690968e-01
2.42025633,934.6044,5.7790528233e-01,-3.0765710271e-01
2.42705593,937.2301,5.7580951502e-01,-3.0877490708e-01
2.43385552,939.8559,5.7370629019e-01,-3.0985068838e-01
2.44065511,942.4816,5.7159589229e-01,-3.1088481874e-01
2.44745471,945.1073,5.6947860325e-01,-3.1187767638e-01
2.45425430,947.7331,5.6735470241e-01,-3.1282964543e-01
